network_type,model,node,entity_type,is_seed,in_degree,out_degree,total_degree,degree_centrality,betweenness,pagerank,total_degree_rank,betweenness_rank,pagerank_rank
controlled_seed_network,qwen_plus,Martin Luther King Jr.,activist,True,8,6,14,0.5555555555555556,0.3735541691424045,0.16008480763390318,1.0,1.0,2.0
controlled_seed_network,qwen_plus,National Association for the Advancement of Colored People,organisation,True,5,1,6,0.3333333333333333,0.17137551990493166,0.06493996462588206,4.0,4.0,6.0
controlled_seed_network,qwen_plus,Bayard Rustin,activist,True,0,4,4,0.2222222222222222,0.018122400475341652,0.01169758966117998,7.0,8.0,13.0
controlled_seed_network,qwen_plus,Southern Christian Leadership Conference,organisation,True,3,2,5,0.2222222222222222,0.04454347395523866,0.06704598579570827,6.0,6.0,5.0
controlled_seed_network,qwen_plus,Congress of Racial Equality,organisation,True,0,1,1,0.05555555555555555,0.0,0.01169758966117998,16.0,15.0,13.0
controlled_seed_network,qwen_plus,Student Nonviolent Coordinating Committee,organisation,True,8,3,11,0.5,0.3681521093285799,0.17868740907369265,2.0,2.0,1.0
controlled_seed_network,qwen_plus,Diane Nash,activist,True,0,1,1,0.05555555555555555,0.0,0.01169758966117998,16.0,15.0,13.0
controlled_seed_network,qwen_plus,Montgomery Bus Boycott,event,True,5,3,8,0.38888888888888884,0.20587740146563674,0.10653180352397996,3.0,3.0,3.0
controlled_seed_network,qwen_plus,Ella Baker,activist,True,1,5,6,0.2777777777777778,0.07080114874232521,0.06232523865943501,4.0,5.0,7.0
controlled_seed_network,qwen_plus,Rosa Parks,activist,True,2,1,3,0.16666666666666666,0.0021786492374727667,0.039952025343809414,10.0,13.0,10.0
controlled_seed_network,qwen_plus,Fannie Lou Hamer,activist,True,1,3,4,0.16666666666666666,0.010021786492374729,0.06232523865943501,7.0,11.0,7.0
controlled_seed_network,qwen_plus,James Forman,activist,True,0,1,1,0.05555555555555555,0.0,0.01169758966117998,16.0,15.0,13.0
controlled_seed_network,qwen_plus,James Lawson,activist,True,0,1,1,0.05555555555555555,0.0,0.01169758966117998,16.0,15.0,13.0
controlled_seed_network,qwen_plus,John Lewis,activist,True,0,2,2,0.1111111111111111,0.020152505446623094,0.01169758966117998,12.0,7.0,13.0
controlled_seed_network,qwen_plus,Medgar Evers,activist,True,1,1,2,0.1111111111111111,0.013765102000396118,0.016669016249812468,12.0,10.0,12.0
controlled_seed_network,qwen_plus,Malcolm X,activist,True,1,1,2,0.05555555555555555,0.0,0.03437591204036297,12.0,15.0,11.0
controlled_seed_network,qwen_plus,Freedom Rides,event,True,2,0,2,0.1111111111111111,0.018077837195484253,0.085003561038618,12.0,9.0,4.0
expanded_second_pass,arc_apex,A. Philip Randolph,activist,True,0,4,4,0.03508771929824561,0.0011488899239248565,0.0023978201906932096,37.0,48.0,90.0
expanded_second_pass,arc_apex,Civil Rights Movement,movement,False,25,37,62,0.43859649122807015,0.43541345677169063,0.05880706476141631,1.0,1.0,2.0
expanded_second_pass,arc_apex,March on Washington Movement,movement,False,2,0,2,0.017543859649122806,0.0,0.004258340623823971,72.0,63.0,66.0
